Lea State,LEA,ID,Category,Total
TX,DEL VALLE ISD,4816620,Reported_Race,0
TX,SPEARMAN ISD,4841010,Discplined_Race,0
TX,SPEARMAN ISD,4841010,Reported_Race,0
TX,CHAPEL HILL ISD,4813650,Discplined_Race,0
TX,CHAPEL HILL ISD,4813650,Reported_Race,0
TX,LONDON ISD,4827990,Discplined_Race,0
TX,LONDON ISD,4827990,Reported_Race,0
TX,MILLSAP ISD,4830870,Discplined_Race,0
TX,MILLSAP ISD,4830870,Reported_Race,0
MS,HUMPHREYS CO SCHOOL DIST,2802040,Discplined_Race,0
MS,HUMPHREYS CO SCHOOL DIST,2802040,Reported_Race,0
TX,HARMONY SCIENCE ACADEMY,4800210,Discplined_Race,0
TX,HARMONY SCIENCE ACADEMY,4800210,Reported_Race,4
AR,MANILA SCHOOL DISTRICT,500046,Discplined_Race,0
AR,MANILA SCHOOL DISTRICT,500046,Reported_Race,0
TX,BOSQUEVILLE ISD,4810910,Discplined_Race,0
TX,BOSQUEVILLE ISD,4810910,Reported_Race,0
TX,PILOT POINT ISD,4834920,Discplined_Race,0
TX,PILOT POINT ISD,4834920,Reported_Race,0
TX,ACADEMY ISD,4807470,Discplined_Race,0
TX,ACADEMY ISD,4807470,Reported_Race,0
MS,LAUREL SCHOOL DISTRICT,2802460,Discplined_Race,0
MS,LAUREL SCHOOL DISTRICT,2802460,Reported_Race,0
TX,HARMONY SCIENCE ACADEMY (AUSTIN),4800241,Discplined_Race,0
TX,HARMONY SCIENCE ACADEMY (AUSTIN),4800241,Reported_Race,0
LA,Lord Beaconsfield Landry-Oliver Perry Walker High,2200207,Discplined_Race,0
LA,Lord Beaconsfield Landry-Oliver Perry Walker High,2200207,Reported_Race,0
AR,CEDAR RIDGE SCHOOL DISTRICT,500070,Discplined_Race,0
AR,CEDAR RIDGE SCHOOL DISTRICT,500070,Reported_Race,0
AR,DOVER SCHOOL DISTRICT,505430,Discplined_Race,0
AR,DOVER SCHOOL DISTRICT,505430,Reported_Race,0
TX,LOS FRESNOS CISD,4828290,Discplined_Race,0
TX,LOS FRESNOS CISD,4828290,Reported_Race,0
TX,KAUFMAN ISD,4825200,Discplined_Race,0
TX,KAUFMAN ISD,4825200,Reported_Race,0
TX,POTTSBORO ISD,4835580,Discplined_Race,0
TX,POTTSBORO ISD,4835580,Reported_Race,0
TX,ANDREWS ISD,4808280,Discplined_Race,38
TX,ANDREWS ISD,4808280,Reported_Race,0
TX,NEDERLAND ISD,4832280,Discplined_Race,0
TX,NEDERLAND ISD,4832280,Reported_Race,0
LA,East Feliciana Parish,2200600,Discplined_Race,0
LA,East Feliciana Parish,2200600,Reported_Race,0
AR,FLIPPIN SCHOOL DISTRICT,506150,Discplined_Race,0
AR,FLIPPIN SCHOOL DISTRICT,506150,Reported_Race,0
TX,MAGNOLIA ISD,4828740,Discplined_Race,0
TX,MAGNOLIA ISD,4828740,Reported_Race,0
TX,ALEDO ISD,4807780,Discplined_Race,0
TX,ALEDO ISD,4807780,Reported_Race,1
TX,KOUNTZE ISD,4825920,Discplined_Race,0
TX,KOUNTZE ISD,4825920,Reported_Race,0
TX,HENDERSON ISD,4822970,Discplined_Race,0
TX,HENDERSON ISD,4822970,Reported_Race,0
TX,TROUP ISD,4843230,Discplined_Race,0
TX,TROUP ISD,4843230,Reported_Race,0
AR,ASHDOWN SCHOOL DISTRICT,502580,Discplined_Race,0
AR,ASHDOWN SCHOOL DISTRICT,502580,Reported_Race,0
TX,REFUGIO ISD,4836780,Discplined_Race,0
TX,REFUGIO ISD,4836780,Reported_Race,0
TX,CORSICANA ISD,4815330,Discplined_Race,0
TX,CORSICANA ISD,4815330,Reported_Race,0
AR,SLOAN-HENDRIX SCHOOL DIST.,512480,Discplined_Race,0
AR,SLOAN-HENDRIX SCHOOL DIST.,512480,Reported_Race,0
AR,HARRISBURG SCHOOL DISTRICT,507350,Discplined_Race,0
AR,HARRISBURG SCHOOL DISTRICT,507350,Reported_Race,0
TX,SMITHVILLE ISD,4840550,Discplined_Race,0
TX,SMITHVILLE ISD,4840550,Reported_Race,0
TX,JACKSONVILLE ISD,4824590,Discplined_Race,0
TX,JACKSONVILLE ISD,4824590,Reported_Race,0
AR,BATESVILLE SCHOOL DISTRICT,500019,Discplined_Race,1
AR,BATESVILLE SCHOOL DISTRICT,500019,Reported_Race,1
TX,GRAPELAND ISD,4821630,Discplined_Race,0
TX,GRAPELAND ISD,4821630,Reported_Race,0
AR,DECATUR SCHOOL DISTRICT,504980,Discplined_Race,0
AR,DECATUR SCHOOL DISTRICT,504980,Reported_Race,0
TX,LONGVIEW ISD,4828110,Discplined_Race,0
TX,LONGVIEW ISD,4828110,Reported_Race,0
TX,JUDSON ISD,4824990,Discplined_Race,3
TX,JUDSON ISD,4824990,Reported_Race,5
TX,WHITE OAK ISD,4845480,Discplined_Race,0
TX,WHITE OAK ISD,4845480,Reported_Race,0
TX,ECTOR COUNTY ISD,4818000,Discplined_Race,0
TX,ECTOR COUNTY ISD,4818000,Reported_Race,1
TX,TEAGUE ISD,4842300,Discplined_Race,0
TX,TEAGUE ISD,4842300,Reported_Race,0
TX,COMFORT ISD,4814790,Discplined_Race,0
TX,COMFORT ISD,4814790,Reported_Race,0
LA,Claiborne Parish,2200450,Discplined_Race,0
LA,Claiborne Parish,2200450,Reported_Race,0
LA,Jefferson Davis Parish,2200810,Discplined_Race,0
LA,Jefferson Davis Parish,2200810,Reported_Race,0
TX,FLORENCE ISD,4819320,Discplined_Race,0
TX,FLORENCE ISD,4819320,Reported_Race,0
AR,ARKANSAS YOUTH SERVICES SCHOOL SYSTEM,500390,Discplined_Race,6
AR,ARKANSAS YOUTH SERVICES SCHOOL SYSTEM,500390,Reported_Race,3
AR,FARMINGTON SCHOOL DISTRICT,506090,Discplined_Race,4
AR,FARMINGTON SCHOOL DISTRICT,506090,Reported_Race,4
TX,PROGRESO ISD,4835910,Discplined_Race,0
TX,PROGRESO ISD,4835910,Reported_Race,0
TX,ARANSAS PASS ISD,4808580,Discplined_Race,0
TX,ARANSAS PASS ISD,4808580,Reported_Race,0
TX,NEW WAVERLY ISD,4832640,Discplined_Race,0
TX,NEW WAVERLY ISD,4832640,Reported_Race,0
TX,TORNILLO ISD,4842990,Discplined_Race,0
TX,TORNILLO ISD,4842990,Reported_Race,0
TX,SHARYLAND ISD,4839930,Discplined_Race,1
TX,SHARYLAND ISD,4839930,Reported_Race,1
AR,GRAVETTE SCHOOL DISTRICT,506840,Discplined_Race,0
AR,GRAVETTE SCHOOL DISTRICT,506840,Reported_Race,0
TX,RAYMONDVILLE ISD,4836540,Discplined_Race,0
TX,RAYMONDVILLE ISD,4836540,Reported_Race,0
TX,LUBBOCK-COOPER ISD,4815180,Discplined_Race,0
TX,LUBBOCK-COOPER ISD,4815180,Reported_Race,0
LA,Rapides Parish,2201290,Discplined_Race,34
LA,Rapides Parish,2201290,Reported_Race,34
AR,HARRISON SCHOOL DISTRICT,507380,Discplined_Race,4
AR,HARRISON SCHOOL DISTRICT,507380,Reported_Race,3
AR,SMACKOVER SCHOOL DISTRICT,512510,Discplined_Race,0
AR,SMACKOVER SCHOOL DISTRICT,512510,Reported_Race,0
TX,BURNET CISD,4812220,Discplined_Race,0
TX,BURNET CISD,4812220,Reported_Race,0
TX,RALLS ISD,4836390,Discplined_Race,0
TX,RALLS ISD,4836390,Reported_Race,0
TX,AUBREY ISD,4808910,Discplined_Race,0
TX,AUBREY ISD,4808910,Reported_Race,0
TX,NORTH EAST ISD,4832940,Discplined_Race,3
TX,NORTH EAST ISD,4832940,Reported_Race,9
TX,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,4801400,Discplined_Race,0
TX,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,4801400,Reported_Race,0
TX,CANTON ISD,4812750,Discplined_Race,0
TX,CANTON ISD,4812750,Reported_Race,0
MS,WEST BOLIVAR CONS SCHOOL DIST,2800185,Discplined_Race,0
MS,WEST BOLIVAR CONS SCHOOL DIST,2800185,Reported_Race,0
LA,St. Tammany Parish,2201650,Discplined_Race,0
LA,St. Tammany Parish,2201650,Reported_Race,0
TX,PITTSBURG ISD,4835010,Discplined_Race,0
TX,PITTSBURG ISD,4835010,Reported_Race,0
AR,MONTICELLO SCHOOL DISTRICT,509840,Discplined_Race,0
AR,MONTICELLO SCHOOL DISTRICT,509840,Reported_Race,0
TX,EARLY ISD,4817790,Discplined_Race,0
TX,EARLY ISD,4817790,Reported_Race,0
TX,TAHOKA ISD,4842090,Discplined_Race,0
TX,TAHOKA ISD,4842090,Reported_Race,0
TX,HONDO ISD,4823430,Discplined_Race,0
TX,HONDO ISD,4823430,Reported_Race,0
TX,KRUM ISD,4825980,Discplined_Race,0
TX,KRUM ISD,4825980,Reported_Race,0
TX,HEREFORD ISD,4823010,Discplined_Race,3
TX,HEREFORD ISD,4823010,Reported_Race,3
AR,HACKETT SCHOOL DISTRICT,507170,Discplined_Race,0
AR,HACKETT SCHOOL DISTRICT,507170,Reported_Race,0
AR,ALMA SCHOOL DISTRICT,502250,Discplined_Race,0
AR,ALMA SCHOOL DISTRICT,502250,Reported_Race,0
TX,LAGO VISTA ISD,4826400,Discplined_Race,0
TX,LAGO VISTA ISD,4826400,Reported_Race,0
AR,STUTTGART SCHOOL DISTRICT,512960,Discplined_Race,0
AR,STUTTGART SCHOOL DISTRICT,512960,Reported_Race,0
