ID,Category,Total
901050,Expulsions with educational services,1
901050,Referral to law enforcement,0
2314610,Expulsions with educational services,0
2314610,Referral to law enforcement,0
2314160,Expulsions with educational services,0
2314160,Referral to law enforcement,0
901800,Expulsions with educational services,0
901800,Referral to law enforcement,9
2505220,Expulsions with educational services,0
2505220,Referral to law enforcement,0
2508340,Expulsions with educational services,0
2508340,Referral to law enforcement,1
4400330,Expulsions with educational services,4
4400330,Referral to law enforcement,18
3303330,Expulsions with educational services,0
3303330,Referral to law enforcement,19
2502100,Expulsions with educational services,0
2502100,Referral to law enforcement,0
2311790,Expulsions with educational services,0
2311790,Referral to law enforcement,0
900690,Expulsions with educational services,0
900690,Referral to law enforcement,4
2314807,Expulsions with educational services,0
2314807,Referral to law enforcement,0
903390,Expulsions with educational services,1
903390,Referral to law enforcement,3
901230,Expulsions with educational services,0
901230,Referral to law enforcement,0
903720,Expulsions with educational services,0
903720,Referral to law enforcement,2
903520,Expulsions with educational services,0
903520,Referral to law enforcement,3
2313560,Expulsions with educational services,0
2313560,Referral to law enforcement,0
901680,Expulsions with educational services,0
901680,Referral to law enforcement,0
904230,Expulsions with educational services,2
904230,Referral to law enforcement,1
2314470,Expulsions with educational services,0
2314470,Referral to law enforcement,0
904620,Expulsions with educational services,5
904620,Referral to law enforcement,8
902130,Expulsions with educational services,1
902130,Referral to law enforcement,1
2502430,Expulsions with educational services,0
2502430,Referral to law enforcement,0
905040,Expulsions with educational services,0
905040,Referral to law enforcement,0
903810,Expulsions with educational services,0
903810,Referral to law enforcement,1
2504230,Expulsions with educational services,0
2504230,Referral to law enforcement,7
2507770,Expulsions with educational services,0
2507770,Referral to law enforcement,3
3305880,Expulsions with educational services,6
3305880,Referral to law enforcement,18
2511220,Expulsions with educational services,0
2511220,Referral to law enforcement,0
2505070,Expulsions with educational services,0
2505070,Referral to law enforcement,0
2508250,Expulsions with educational services,0
2508250,Referral to law enforcement,0
901170,Expulsions with educational services,1
901170,Referral to law enforcement,0
2307100,Expulsions with educational services,0
2307100,Referral to law enforcement,0
2306060,Expulsions with educational services,0
2306060,Referral to law enforcement,0
904050,Expulsions with educational services,4
904050,Referral to law enforcement,4
2314240,Expulsions with educational services,0
2314240,Referral to law enforcement,1
904470,Expulsions with educational services,3
904470,Referral to law enforcement,3
4400030,Expulsions with educational services,0
4400030,Referral to law enforcement,10
2502190,Expulsions with educational services,0
2502190,Referral to law enforcement,0
3306060,Expulsions with educational services,0
3306060,Referral to law enforcement,1
2303780,Expulsions with educational services,0
2303780,Referral to law enforcement,0
903536,Expulsions with educational services,4
903536,Referral to law enforcement,1
2513170,Expulsions with educational services,0
2513170,Referral to law enforcement,1
2314782,Expulsions with educational services,0
2314782,Referral to law enforcement,0
900060,Expulsions with educational services,13
900060,Referral to law enforcement,17
902490,Expulsions with educational services,3
902490,Referral to law enforcement,5
2310530,Expulsions with educational services,0
2310530,Referral to law enforcement,0
2314796,Expulsions with educational services,1
2314796,Referral to law enforcement,1
902880,Expulsions with educational services,2
902880,Referral to law enforcement,15
4401110,Expulsions with educational services,0
4401110,Referral to law enforcement,0
2503540,Expulsions with educational services,0
2503540,Referral to law enforcement,0
2506390,Expulsions with educational services,0
2506390,Referral to law enforcement,0
2506900,Expulsions with educational services,0
2506900,Referral to law enforcement,0
2509720,Expulsions with educational services,0
2509720,Referral to law enforcement,3
5007830,Expulsions with educational services,0
5007830,Referral to law enforcement,0
2303150,Expulsions with educational services,0
2303150,Referral to law enforcement,0
900210,Expulsions with educational services,0
900210,Referral to law enforcement,3
2508850,Expulsions with educational services,0
2508850,Referral to law enforcement,0
3304030,Expulsions with educational services,0
3304030,Referral to law enforcement,3
4400065,Expulsions with educational services,0
4400065,Referral to law enforcement,0
4400840,Expulsions with educational services,0
4400840,Referral to law enforcement,0
3307115,Expulsions with educational services,0
3307115,Referral to law enforcement,9
5007050,Expulsions with educational services,0
5007050,Referral to law enforcement,1
2511910,Expulsions with educational services,0
2511910,Referral to law enforcement,0
2307710,Expulsions with educational services,0
2307710,Referral to law enforcement,2
2314787,Expulsions with educational services,0
2314787,Referral to law enforcement,2
2511850,Expulsions with educational services,0
2511850,Referral to law enforcement,16
3305310,Expulsions with educational services,0
3305310,Referral to law enforcement,1
3305820,Expulsions with educational services,0
3305820,Referral to law enforcement,8
3305520,Expulsions with educational services,0
3305520,Referral to law enforcement,0
2506330,Expulsions with educational services,0
2506330,Referral to law enforcement,2
2510560,Expulsions with educational services,0
2510560,Referral to law enforcement,0
2314809,Expulsions with educational services,0
2314809,Referral to law enforcement,18
2314777,Expulsions with educational services,0
2314777,Referral to law enforcement,0
902520,Expulsions with educational services,8
902520,Referral to law enforcement,8
3301740,Expulsions with educational services,0
3301740,Referral to law enforcement,13
5000402,Expulsions with educational services,0
5000402,Referral to law enforcement,6
2507020,Expulsions with educational services,0
2507020,Referral to law enforcement,4
2503150,Expulsions with educational services,0
2503150,Referral to law enforcement,0
2510200,Expulsions with educational services,0
2510200,Referral to law enforcement,0
902160,Expulsions with educational services,1
902160,Referral to law enforcement,2
902550,Expulsions with educational services,0
902550,Referral to law enforcement,2
904560,Expulsions with educational services,0
904560,Referral to law enforcement,2
3303870,Expulsions with educational services,0
3303870,Referral to law enforcement,20
903538,Expulsions with educational services,1
903538,Referral to law enforcement,1
2500063,Expulsions with educational services,0
2500063,Referral to law enforcement,1
901620,Expulsions with educational services,0
901620,Referral to law enforcement,2
2504800,Expulsions with educational services,0
2504800,Referral to law enforcement,0
904170,Expulsions with educational services,2
904170,Referral to law enforcement,37
2512630,Expulsions with educational services,0
2512630,Referral to law enforcement,3
2510860,Expulsions with educational services,0
2510860,Referral to law enforcement,0
2507110,Expulsions with educational services,0
2507110,Referral to law enforcement,5
903990,Expulsions with educational services,1
903990,Referral to law enforcement,1
2508820,Expulsions with educational services,0
2508820,Referral to law enforcement,5
5005610,Expulsions with educational services,0
5005610,Referral to law enforcement,0
2509420,Expulsions with educational services,0
2509420,Referral to law enforcement,0
901440,Expulsions with educational services,4
901440,Referral to law enforcement,11
2507260,Expulsions with educational services,0
2507260,Referral to law enforcement,0
2503090,Expulsions with educational services,0
2503090,Referral to law enforcement,14
2314788,Expulsions with educational services,0
2314788,Referral to law enforcement,0
3303780,Expulsions with educational services,0
3303780,Referral to law enforcement,0
2510980,Expulsions with educational services,0
2510980,Referral to law enforcement,0
4400960,Expulsions with educational services,0
4400960,Referral to law enforcement,0
2311550,Expulsions with educational services,0
2311550,Referral to law enforcement,12
2503390,Expulsions with educational services,0
2503390,Referral to law enforcement,0
2511150,Expulsions with educational services,0
2511150,Referral to law enforcement,0
2309930,Expulsions with educational services,1
2309930,Referral to law enforcement,3
2501890,Expulsions with educational services,0
2501890,Referral to law enforcement,0
5007470,Expulsions with educational services,0
5007470,Referral to law enforcement,1
2512420,Expulsions with educational services,0
2512420,Referral to law enforcement,0
25SOP01,Expulsions with educational services,0
25SOP01,Referral to law enforcement,0
903270,Expulsions with educational services,1
903270,Referral to law enforcement,0
902640,Expulsions with educational services,9
902640,Referral to law enforcement,20
2314670,Expulsions with educational services,0
2314670,Referral to law enforcement,0
2314822,Expulsions with educational services,0
2314822,Referral to law enforcement,3
2508040,Expulsions with educational services,0
2508040,Referral to law enforcement,1
2504050,Expulsions with educational services,0
2504050,Referral to law enforcement,7
4401140,Expulsions with educational services,12
4401140,Referral to law enforcement,3
2502040,Expulsions with educational services,0
2502040,Referral to law enforcement,0
2314780,Expulsions with educational services,0
2314780,Referral to law enforcement,0
3305580,Expulsions with educational services,0
3305580,Referral to law enforcement,38
2508430,Expulsions with educational services,0
2508430,Referral to law enforcement,0
2512840,Expulsions with educational services,0
2512840,Referral to law enforcement,7
2314765,Expulsions with educational services,0
2314765,Referral to law enforcement,0
3303900,Expulsions with educational services,0
3303900,Referral to law enforcement,4
4400210,Expulsions with educational services,0
4400210,Referral to law enforcement,8
2503270,Expulsions with educational services,0
2503270,Referral to law enforcement,0
2512060,Expulsions with educational services,1
2512060,Referral to law enforcement,1
2510050,Expulsions with educational services,0
2510050,Referral to law enforcement,5
903530,Expulsions with educational services,1
903530,Referral to law enforcement,0
2314778,Expulsions with educational services,0
2314778,Referral to law enforcement,0
2507050,Expulsions with educational services,0
2507050,Referral to law enforcement,0
2511340,Expulsions with educational services,0
2511340,Referral to law enforcement,0
3302340,Expulsions with educational services,0
3302340,Referral to law enforcement,4
3306720,Expulsions with educational services,0
3306720,Referral to law enforcement,0
2307530,Expulsions with educational services,0
2307530,Referral to law enforcement,0
2313350,Expulsions with educational services,0
2313350,Referral to law enforcement,0
2503300,Expulsions with educational services,0
2503300,Referral to law enforcement,0
3303240,Expulsions with educational services,0
3303240,Referral to law enforcement,53
902910,Expulsions with educational services,0
902910,Referral to law enforcement,2
2314773,Expulsions with educational services,0
2314773,Referral to law enforcement,0
901710,Expulsions with educational services,6
901710,Referral to law enforcement,6
903120,Expulsions with educational services,6
903120,Referral to law enforcement,4
5000395,Expulsions with educational services,0
5000395,Referral to law enforcement,6
2508310,Expulsions with educational services,0
2508310,Referral to law enforcement,0
905130,Expulsions with educational services,1
905130,Referral to law enforcement,0
2511580,Expulsions with educational services,0
2511580,Referral to law enforcement,0
3300035,Expulsions with educational services,0
3300035,Referral to law enforcement,1
2507740,Expulsions with educational services,0
2507740,Referral to law enforcement,0
4400150,Expulsions with educational services,0
4400150,Referral to law enforcement,21
2507860,Expulsions with educational services,1
2507860,Referral to law enforcement,0
2310770,Expulsions with educational services,0
2310770,Referral to law enforcement,0
3307050,Expulsions with educational services,0
3307050,Referral to law enforcement,3
4400750,Expulsions with educational services,0
4400750,Referral to law enforcement,5
2502220,Expulsions with educational services,0
2502220,Referral to law enforcement,4
3301860,Expulsions with educational services,0
3301860,Referral to law enforcement,0
901530,Expulsions with educational services,5
901530,Referral to law enforcement,9
2507590,Expulsions with educational services,0
2507590,Referral to law enforcement,1
2502460,Expulsions with educational services,0
2502460,Referral to law enforcement,6
2502310,Expulsions with educational services,0
2502310,Referral to law enforcement,0
2510500,Expulsions with educational services,0
2510500,Referral to law enforcement,0
2310500,Expulsions with educational services,0
2310500,Referral to law enforcement,0
3305940,Expulsions with educational services,0
3305940,Referral to law enforcement,11
2505270,Expulsions with educational services,0
2505270,Referral to law enforcement,2
2311430,Expulsions with educational services,0
2311430,Referral to law enforcement,0
3302640,Expulsions with educational services,0
3302640,Referral to law enforcement,15
2509870,Expulsions with educational services,0
2509870,Referral to law enforcement,0
2505400,Expulsions with educational services,0
2505400,Referral to law enforcement,1
2504410,Expulsions with educational services,0
2504410,Referral to law enforcement,0
3304350,Expulsions with educational services,0
3304350,Referral to law enforcement,2
905070,Expulsions with educational services,3
905070,Referral to law enforcement,14
3303000,Expulsions with educational services,0
3303000,Referral to law enforcement,0
903030,Expulsions with educational services,0
903030,Referral to law enforcement,0
5000401,Expulsions with educational services,0
5000401,Referral to law enforcement,0
5006930,Expulsions with educational services,0
5006930,Referral to law enforcement,0
4400630,Expulsions with educational services,0
4400630,Referral to law enforcement,31
904530,Expulsions with educational services,0
904530,Referral to law enforcement,1
2502820,Expulsions with educational services,0
2502820,Referral to law enforcement,0
902700,Expulsions with educational services,0
902700,Referral to law enforcement,0
2506780,Expulsions with educational services,0
2506780,Referral to law enforcement,0
3304140,Expulsions with educational services,0
3304140,Referral to law enforcement,12
2504200,Expulsions with educational services,0
2504200,Referral to law enforcement,12
2509450,Expulsions with educational services,0
2509450,Referral to law enforcement,3
903537,Expulsions with educational services,1
903537,Referral to law enforcement,1
2507680,Expulsions with educational services,0
2507680,Referral to law enforcement,0
3303930,Expulsions with educational services,0
3303930,Referral to law enforcement,10
901860,Expulsions with educational services,8
901860,Referral to law enforcement,16
902400,Expulsions with educational services,4
902400,Referral to law enforcement,12
4400870,Expulsions with educational services,0
4400870,Referral to law enforcement,0
904590,Expulsions with educational services,4
904590,Referral to law enforcement,14
905220,Expulsions with educational services,6
905220,Referral to law enforcement,6
902220,Expulsions with educational services,0
902220,Referral to law enforcement,0
4400990,Expulsions with educational services,0
4400990,Referral to law enforcement,3
902580,Expulsions with educational services,0
902580,Referral to law enforcement,7
2506270,Expulsions with educational services,0
2506270,Referral to law enforcement,15
2502790,Expulsions with educational services,0
2502790,Referral to law enforcement,10
5007530,Expulsions with educational services,0
5007530,Referral to law enforcement,0
2509630,Expulsions with educational services,0
2509630,Referral to law enforcement,10
2512780,Expulsions with educational services,0
2512780,Referral to law enforcement,0
904860,Expulsions with educational services,3
904860,Referral to law enforcement,5
2311100,Expulsions with educational services,0
2311100,Referral to law enforcement,0
2508790,Expulsions with educational services,0
2508790,Referral to law enforcement,0
2505970,Expulsions with educational services,0
2505970,Referral to law enforcement,0
2512180,Expulsions with educational services,0
2512180,Referral to law enforcement,0
900510,Expulsions with educational services,9
900510,Referral to law enforcement,4
2314440,Expulsions with educational services,0
2314440,Referral to law enforcement,0
2505500,Expulsions with educational services,0
2505500,Referral to law enforcement,0
903480,Expulsions with educational services,1
903480,Referral to law enforcement,1
2500542,Expulsions with educational services,0
2500542,Referral to law enforcement,0
2507990,Expulsions with educational services,0
2507990,Referral to law enforcement,2
901110,Expulsions with educational services,11
901110,Referral to law enforcement,10
2511880,Expulsions with educational services,0
2511880,Referral to law enforcement,0
2500544,Expulsions with educational services,0
2500544,Referral to law enforcement,0
901770,Expulsions with educational services,10
901770,Referral to law enforcement,9
2312330,Expulsions with educational services,0
2312330,Referral to law enforcement,25
3305400,Expulsions with educational services,0
3305400,Referral to law enforcement,0
3304050,Expulsions with educational services,0
3304050,Referral to law enforcement,57
902340,Expulsions with educational services,0
902340,Referral to law enforcement,0
2311250,Expulsions with educational services,0
2311250,Referral to law enforcement,2
3305550,Expulsions with educational services,0
3305550,Referral to law enforcement,10
2504860,Expulsions with educational services,4
2504860,Referral to law enforcement,15
2314330,Expulsions with educational services,0
2314330,Referral to law enforcement,0
2507320,Expulsions with educational services,0
2507320,Referral to law enforcement,1
3304290,Expulsions with educational services,0
3304290,Referral to law enforcement,0
2500013,Expulsions with educational services,0
2500013,Referral to law enforcement,0
2507980,Expulsions with educational services,0
2507980,Referral to law enforcement,3
2310710,Expulsions with educational services,0
2310710,Referral to law enforcement,19
2502530,Expulsions with educational services,0
2502530,Referral to law enforcement,1
3301650,Expulsions with educational services,0
3301650,Referral to law enforcement,0
2314772,Expulsions with educational services,0
2314772,Referral to law enforcement,0
2502400,Expulsions with educational services,0
2502400,Referral to law enforcement,0
900540,Expulsions with educational services,2
900540,Referral to law enforcement,2
2313490,Expulsions with educational services,0
2313490,Referral to law enforcement,0
2511010,Expulsions with educational services,0
2511010,Referral to law enforcement,0
5005700,Expulsions with educational services,0
5005700,Referral to law enforcement,1
5000393,Expulsions with educational services,0
5000393,Referral to law enforcement,0
900960,Expulsions with educational services,0
900960,Referral to law enforcement,0
5000396,Expulsions with educational services,0
5000396,Referral to law enforcement,1
2504770,Expulsions with educational services,1
2504770,Referral to law enforcement,0
2512030,Expulsions with educational services,0
2512030,Referral to law enforcement,0
2507440,Expulsions with educational services,0
2507440,Referral to law enforcement,0
3302990,Expulsions with educational services,0
3302990,Referral to law enforcement,15
2313860,Expulsions with educational services,0
2313860,Referral to law enforcement,0
2511400,Expulsions with educational services,0
2511400,Referral to law enforcement,0
4400570,Expulsions with educational services,0
4400570,Referral to law enforcement,0
2503030,Expulsions with educational services,0
2503030,Referral to law enforcement,0
2311580,Expulsions with educational services,0
2311580,Referral to law enforcement,0
903515,Expulsions with educational services,0
903515,Referral to law enforcement,0
3302490,Expulsions with educational services,0
3302490,Referral to law enforcement,2
3304230,Expulsions with educational services,0
3304230,Referral to law enforcement,58
904290,Expulsions with educational services,1
904290,Referral to law enforcement,3
2508370,Expulsions with educational services,0
2508370,Referral to law enforcement,0
902850,Expulsions with educational services,4
902850,Referral to law enforcement,14
2314590,Expulsions with educational services,0
2314590,Referral to law enforcement,11
3305280,Expulsions with educational services,0
3305280,Referral to law enforcement,4
2310380,Expulsions with educational services,0
2310380,Referral to law enforcement,3
2504140,Expulsions with educational services,0
2504140,Referral to law enforcement,7
901290,Expulsions with educational services,0
901290,Referral to law enforcement,1
2314793,Expulsions with educational services,0
2314793,Referral to law enforcement,8
902760,Expulsions with educational services,0
902760,Referral to law enforcement,0
904380,Expulsions with educational services,2
904380,Referral to law enforcement,1
2504440,Expulsions with educational services,0
2504440,Referral to law enforcement,0
4400120,Expulsions with educational services,0
4400120,Referral to law enforcement,17
3304890,Expulsions with educational services,0
3304890,Referral to law enforcement,6
2500002,Expulsions with educational services,0
2500002,Referral to law enforcement,0
3302480,Expulsions with educational services,0
3302480,Referral to law enforcement,2
2500067,Expulsions with educational services,0
2500067,Referral to law enforcement,0
2503990,Expulsions with educational services,0
2503990,Referral to law enforcement,1
2513230,Expulsions with educational services,79
2513230,Referral to law enforcement,55
5000403,Expulsions with educational services,0
5000403,Referral to law enforcement,0
2503510,Expulsions with educational services,0
2503510,Referral to law enforcement,0
2508160,Expulsions with educational services,0
2508160,Referral to law enforcement,0
3303750,Expulsions with educational services,0
3303750,Referral to law enforcement,32
900150,Expulsions with educational services,0
900150,Referral to law enforcement,0
2503840,Expulsions with educational services,0
2503840,Referral to law enforcement,2
2509270,Expulsions with educational services,0
2509270,Referral to law enforcement,0
2502940,Expulsions with educational services,0
2502940,Referral to law enforcement,0
2511760,Expulsions with educational services,0
2511760,Referral to law enforcement,0
2313970,Expulsions with educational services,0
2313970,Referral to law enforcement,0
3304980,Expulsions with educational services,0
3304980,Referral to law enforcement,17
2507530,Expulsions with educational services,0
2507530,Referral to law enforcement,0
2500001,Expulsions with educational services,0
2500001,Referral to law enforcement,0
2510170,Expulsions with educational services,0
2510170,Referral to law enforcement,0
2506420,Expulsions with educational services,0
2506420,Referral to law enforcement,0
2501950,Expulsions with educational services,0
2501950,Referral to law enforcement,0
2509930,Expulsions with educational services,4
2509930,Referral to law enforcement,12
2505670,Expulsions with educational services,0
2505670,Referral to law enforcement,0
3304670,Expulsions with educational services,0
3304670,Referral to law enforcement,54
