Lea State,LEA,ID,Category,Total
NH,Sanborn Regional School District,3306080,Single-sex teams,34
NH,Sanborn Regional School District,3306080,Participants on single-sex teams,601
MA,Wachusett,2511880,Single-sex teams,48
MA,Wachusett,2511880,Participants on single-sex teams,1186
ME,MSAD 46,2314530,Single-sex teams,10
ME,MSAD 46,2314530,Participants on single-sex teams,124
VT,Montpelier School District,5005700,Single-sex teams,26
VT,Montpelier School District,5005700,Participants on single-sex teams,300
MA,Andover,2501950,Single-sex teams,59
MA,Andover,2501950,Participants on single-sex teams,1598
NH,Franklin School District,3303090,Single-sex teams,12
NH,Franklin School District,3303090,Participants on single-sex teams,158
MA,Lynnfield,2507140,Single-sex teams,34
MA,Lynnfield,2507140,Participants on single-sex teams,466
ME,Calais Public Schools,2303870,Single-sex teams,11
ME,Calais Public Schools,2303870,Participants on single-sex teams,180
CT,REGIONAL SCHOOL DISTRICT 15,903537,Single-sex teams,40
CT,REGIONAL SCHOOL DISTRICT 15,903537,Participants on single-sex teams,906
CT,COVENTRY SCHOOL DISTRICT,900960,Single-sex teams,27
CT,COVENTRY SCHOOL DISTRICT,900960,Participants on single-sex teams,332
MA,Narragansett Regional School District,2508280,Single-sex teams,20
MA,Narragansett Regional School District,2508280,Participants on single-sex teams,291
MA,South Hadley,2510920,Single-sex teams,27
MA,South Hadley,2510920,Participants on single-sex teams,526
NH,Merrimack Valley School District,3304760,Single-sex teams,35
NH,Merrimack Valley School District,3304760,Participants on single-sex teams,886
MA,Danvers,2503990,Single-sex teams,29
MA,Danvers,2503990,Participants on single-sex teams,942
MA,Southwick-Tolland-Granville Regional School District,2500013,Single-sex teams,32
MA,Southwick-Tolland-Granville Regional School District,2500013,Participants on single-sex teams,546
CT,LITCHFIELD SCHOOL DISTRICT,902220,Single-sex teams,32
CT,LITCHFIELD SCHOOL DISTRICT,902220,Participants on single-sex teams,282
CT,STAMFORD SCHOOL DISTRICT,904320,Single-sex teams,87
CT,STAMFORD SCHOOL DISTRICT,904320,Participants on single-sex teams,1697
NH,Gorham Randolph Shelburne Coop School District,3300035,Single-sex teams,10
NH,Gorham Randolph Shelburne Coop School District,3300035,Participants on single-sex teams,67
NH,Hillsboro Deering Coop School District,3303750,Single-sex teams,18
NH,Hillsboro Deering Coop School District,3303750,Participants on single-sex teams,192
MA,Gateway,2505160,Single-sex teams,12
MA,Gateway,2505160,Participants on single-sex teams,276
MA,North Attleborough,2508730,Single-sex teams,12
MA,North Attleborough,2508730,Participants on single-sex teams,265
ME,Lewiston Public Schools,2307320,Single-sex teams,34
ME,Lewiston Public Schools,2307320,Participants on single-sex teams,658
MA,Weston,2512750,Single-sex teams,59
MA,Weston,2512750,Participants on single-sex teams,772
MA,Stoughton,2511250,Single-sex teams,40
MA,Stoughton,2511250,Participants on single-sex teams,960
MA,Adams-Cheshire,2501780,Single-sex teams,18
MA,Adams-Cheshire,2501780,Participants on single-sex teams,217
VT,Elmore Morristown Unified School District,5000391,Single-sex teams,11
VT,Elmore Morristown Unified School District,5000391,Participants on single-sex teams,102
ME,York Public Schools,2314130,Single-sex teams,37
ME,York Public Schools,2314130,Participants on single-sex teams,360
ME,RSU 83/MSAD 13,2310650,Single-sex teams,6
ME,RSU 83/MSAD 13,2310650,Participants on single-sex teams,31
ME,RSU 19,2314785,Single-sex teams,26
ME,RSU 19,2314785,Participants on single-sex teams,192
RI,Smithfield,4400990,Single-sex teams,35
RI,Smithfield,4400990,Participants on single-sex teams,635
MA,Boston,2502790,Single-sex teams,317
MA,Boston,2502790,Participants on single-sex teams,4771
MA,Winchendon,2513080,Single-sex teams,22
MA,Winchendon,2513080,Participants on single-sex teams,244
MA,Longmeadow,2506990,Single-sex teams,47
MA,Longmeadow,2506990,Participants on single-sex teams,1186
MA,Newton,2508610,Single-sex teams,115
MA,Newton,2508610,Participants on single-sex teams,2449
CT,HAMDEN SCHOOL DISTRICT,901860,Single-sex teams,44
CT,HAMDEN SCHOOL DISTRICT,901860,Participants on single-sex teams,856
MA,Hamilton-Wenham,2505670,Single-sex teams,43
MA,Hamilton-Wenham,2505670,Participants on single-sex teams,663
MA,Holliston,2506240,Single-sex teams,48
MA,Holliston,2506240,Participants on single-sex teams,906
MA,Franklin,2505010,Single-sex teams,53
MA,Franklin,2505010,Participants on single-sex teams,1557
MA,Dedham,2504050,Single-sex teams,37
MA,Dedham,2504050,Participants on single-sex teams,799
NH,Oyster River Coop School District,3305520,Single-sex teams,30
NH,Oyster River Coop School District,3305520,Participants on single-sex teams,450
MA,Medway,2507590,Single-sex teams,40
MA,Medway,2507590,Participants on single-sex teams,792
CT,ENFIELD SCHOOL DISTRICT,901470,Single-sex teams,44
CT,ENFIELD SCHOOL DISTRICT,901470,Participants on single-sex teams,664
MA,Acton-Boxborough Regional School District,2501710,Single-sex teams,53
MA,Acton-Boxborough Regional School District,2501710,Participants on single-sex teams,1195
MA,North Reading,2508820,Single-sex teams,61
MA,North Reading,2508820,Participants on single-sex teams,988
NH,White Mountain Regional School District,3307050,Single-sex teams,15
NH,White Mountain Regional School District,3307050,Participants on single-sex teams,177
MA,Hampden-Wilbraham,2505730,Single-sex teams,53
MA,Hampden-Wilbraham,2505730,Participants on single-sex teams,1003
CT,NAUGATUCK SCHOOL DISTRICT,902640,Single-sex teams,12
CT,NAUGATUCK SCHOOL DISTRICT,902640,Participants on single-sex teams,154
MA,Marblehead,2507260,Single-sex teams,59
MA,Marblehead,2507260,Participants on single-sex teams,879
CT,BLOOMFIELD SCHOOL DISTRICT,900330,Single-sex teams,24
CT,BLOOMFIELD SCHOOL DISTRICT,900330,Participants on single-sex teams,307
MA,Millis,2507920,Single-sex teams,26
MA,Millis,2507920,Participants on single-sex teams,382
MA,Bourne,2502820,Single-sex teams,15
MA,Bourne,2502820,Participants on single-sex teams,204
MA,Winchester,2513110,Single-sex teams,26
MA,Winchester,2513110,Participants on single-sex teams,936
ME,RSU 10,2314795,Single-sex teams,35
ME,RSU 10,2314795,Participants on single-sex teams,341
RI,Tiverton,4401050,Single-sex teams,30
RI,Tiverton,4401050,Participants on single-sex teams,423
MA,Chelmsford,2503510,Single-sex teams,66
MA,Chelmsford,2503510,Participants on single-sex teams,810
MA,Swampscott,2511430,Single-sex teams,43
MA,Swampscott,2511430,Participants on single-sex teams,851
ME,Hermon Public Schools,2306510,Single-sex teams,27
ME,Hermon Public Schools,2306510,Participants on single-sex teams,403
MA,Quabbin,2500001,Single-sex teams,41
MA,Quabbin,2500001,Participants on single-sex teams,501
CT,GREENWICH SCHOOL DISTRICT,901710,Single-sex teams,64
CT,GREENWICH SCHOOL DISTRICT,901710,Participants on single-sex teams,1397
CT,PLAINVILLE SCHOOL DISTRICT,903300,Single-sex teams,41
CT,PLAINVILLE SCHOOL DISTRICT,903300,Participants on single-sex teams,495
MA,Dighton-Rehoboth,2504200,Single-sex teams,28
MA,Dighton-Rehoboth,2504200,Participants on single-sex teams,390
RI,Portsmouth,4400870,Single-sex teams,36
RI,Portsmouth,4400870,Participants on single-sex teams,355
MA,Pembroke,2509420,Single-sex teams,16
MA,Pembroke,2509420,Participants on single-sex teams,322
NH,Moultonborough School District,3304960,Single-sex teams,34
NH,Moultonborough School District,3304960,Participants on single-sex teams,227
MA,Blackstone-Millville,2502715,Single-sex teams,29
MA,Blackstone-Millville,2502715,Participants on single-sex teams,319
NH,Lisbon Regional School District,3304290,Single-sex teams,6
NH,Lisbon Regional School District,3304290,Participants on single-sex teams,54
MA,Brockton,2503090,Single-sex teams,38
MA,Brockton,2503090,Participants on single-sex teams,1040
ME,RSU 79/MSAD 01,2310860,Single-sex teams,26
ME,RSU 79/MSAD 01,2310860,Participants on single-sex teams,387
ME,RSU 20,2314791,Single-sex teams,17
ME,RSU 20,2314791,Participants on single-sex teams,71
MA,Ashburnham-Westminster,2502040,Single-sex teams,7
MA,Ashburnham-Westminster,2502040,Participants on single-sex teams,139
VT,Maple Run Unified School District,5000399,Single-sex teams,28
VT,Maple Run Unified School District,5000399,Participants on single-sex teams,483
CT,WESTBROOK SCHOOL DISTRICT,904980,Single-sex teams,14
CT,WESTBROOK SCHOOL DISTRICT,904980,Participants on single-sex teams,116
ME,RSU 04,2314783,Single-sex teams,25
ME,RSU 04,2314783,Participants on single-sex teams,283
CT,MILFORD SCHOOL DISTRICT,902520,Single-sex teams,59
CT,MILFORD SCHOOL DISTRICT,902520,Participants on single-sex teams,901
CT,EAST HADDAM SCHOOL DISTRICT,901200,Single-sex teams,13
CT,EAST HADDAM SCHOOL DISTRICT,901200,Participants on single-sex teams,150
CT,REGIONAL SCHOOL DISTRICT 05,903660,Single-sex teams,31
CT,REGIONAL SCHOOL DISTRICT 05,903660,Participants on single-sex teams,1337
MA,Foxborough,2504950,Single-sex teams,45
MA,Foxborough,2504950,Participants on single-sex teams,588
CT,AVON SCHOOL DISTRICT,900120,Single-sex teams,18
CT,AVON SCHOOL DISTRICT,900120,Participants on single-sex teams,886
CT,MONTVILLE SCHOOL DISTRICT,902580,Single-sex teams,76
CT,MONTVILLE SCHOOL DISTRICT,902580,Participants on single-sex teams,386
MA,Quincy,2509870,Single-sex teams,75
MA,Quincy,2509870,Participants on single-sex teams,955
MA,Saugus,2510500,Single-sex teams,18
MA,Saugus,2510500,Participants on single-sex teams,340
NH,Hudson School District,3303930,Single-sex teams,20
NH,Hudson School District,3303930,Participants on single-sex teams,520
CT,WINDHAM SCHOOL DISTRICT,905190,Single-sex teams,27
CT,WINDHAM SCHOOL DISTRICT,905190,Participants on single-sex teams,251
MA,Dracut,2504320,Single-sex teams,36
MA,Dracut,2504320,Participants on single-sex teams,694
MA,Fairhaven,2504800,Single-sex teams,16
MA,Fairhaven,2504800,Participants on single-sex teams,375
MA,Tyngsborough,2511760,Single-sex teams,18
MA,Tyngsborough,2511760,Participants on single-sex teams,425
RI,Central Falls,4400120,Single-sex teams,11
RI,Central Falls,4400120,Participants on single-sex teams,140
ME,RSU 40/MSAD 40,2311550,Single-sex teams,20
ME,RSU 40/MSAD 40,2311550,Participants on single-sex teams,316
CT,BRIDGEPORT SCHOOL DISTRICT,900450,Single-sex teams,46
CT,BRIDGEPORT SCHOOL DISTRICT,900450,Participants on single-sex teams,585
ME,RSU 56,2314833,Single-sex teams,9
ME,RSU 56,2314833,Participants on single-sex teams,128
NH,Dover School District,3302640,Single-sex teams,30
NH,Dover School District,3302640,Participants on single-sex teams,676
CT,CAPITOL REGION EDUCATION COUN,900700,Single-sex teams,60
CT,CAPITOL REGION EDUCATION COUN,900700,Participants on single-sex teams,1075
CT,WATERFORD SCHOOL DISTRICT,904860,Single-sex teams,46
CT,WATERFORD SCHOOL DISTRICT,904860,Participants on single-sex teams,493
CT,EAST HAVEN SCHOOL DISTRICT,901290,Single-sex teams,31
CT,EAST HAVEN SCHOOL DISTRICT,901290,Participants on single-sex teams,416
MA,Easton,2504620,Single-sex teams,56
MA,Easton,2504620,Participants on single-sex teams,1062
MA,Ware,2512030,Single-sex teams,9
MA,Ware,2512030,Participants on single-sex teams,245
NH,Newport School District,3305310,Single-sex teams,19
NH,Newport School District,3305310,Participants on single-sex teams,240
CT,REGIONAL SCHOOL DISTRICT 18,903540,Single-sex teams,36
CT,REGIONAL SCHOOL DISTRICT 18,903540,Participants on single-sex teams,305
ME,Sanford Public Schools,2310500,Single-sex teams,28
ME,Sanford Public Schools,2310500,Participants on single-sex teams,383
MA,East Bridgewater,2504440,Single-sex teams,30
MA,East Bridgewater,2504440,Participants on single-sex teams,729
MA,Fitchburg Public Schools,2504890,Single-sex teams,38
MA,Fitchburg Public Schools,2504890,Participants on single-sex teams,611
NH,Sunapee School District,3306540,Single-sex teams,13
NH,Sunapee School District,3306540,Participants on single-sex teams,132
CT,ROCKY HILL SCHOOL DISTRICT,903840,Single-sex teams,25
CT,ROCKY HILL SCHOOL DISTRICT,903840,Participants on single-sex teams,649
VT,Champlain Valley Unified School District,5000396,Single-sex teams,11
VT,Champlain Valley Unified School District,5000396,Participants on single-sex teams,216
CT,NEWTOWN SCHOOL DISTRICT,902910,Single-sex teams,46
CT,NEWTOWN SCHOOL DISTRICT,902910,Participants on single-sex teams,1124
ME,RSU 44/MSAD 44,2311670,Single-sex teams,9
ME,RSU 44/MSAD 44,2311670,Participants on single-sex teams,136
NH,Northumberland School District,3305400,Single-sex teams,16
NH,Northumberland School District,3305400,Participants on single-sex teams,91
CT,DERBY SCHOOL DISTRICT,901110,Single-sex teams,20
CT,DERBY SCHOOL DISTRICT,901110,Participants on single-sex teams,151
MA,Whitman-Hanson,2512930,Single-sex teams,44
MA,Whitman-Hanson,2512930,Participants on single-sex teams,1182
ME,RSU 17/MSAD 17,2310770,Single-sex teams,45
ME,RSU 17/MSAD 17,2310770,Participants on single-sex teams,412
ME,RSU 16,2314775,Single-sex teams,19
ME,RSU 16,2314775,Participants on single-sex teams,315
CT,NEW CANAAN SCHOOL DISTRICT,902700,Single-sex teams,54
CT,NEW CANAAN SCHOOL DISTRICT,902700,Participants on single-sex teams,812
NH,Merrimack School District,3304740,Single-sex teams,47
NH,Merrimack School District,3304740,Participants on single-sex teams,855
MA,Sharon,2510620,Single-sex teams,36
MA,Sharon,2510620,Participants on single-sex teams,630
MA,Hull,2506420,Single-sex teams,23
MA,Hull,2506420,Participants on single-sex teams,324
ME,Portland Public Schools,2309930,Single-sex teams,86
ME,Portland Public Schools,2309930,Participants on single-sex teams,1412
CT,Connecticut Technical Education and Career System,900002,Single-sex teams,296
CT,Connecticut Technical Education and Career System,900002,Participants on single-sex teams,4030
NH,Keene School District,3304050,Single-sex teams,45
NH,Keene School District,3304050,Participants on single-sex teams,769
MA,Wayland,2512210,Single-sex teams,54
MA,Wayland,2512210,Participants on single-sex teams,1091
CT,COLCHESTER SCHOOL DISTRICT,900840,Single-sex teams,5
CT,COLCHESTER SCHOOL DISTRICT,900840,Participants on single-sex teams,121
CT,FAIRFIELD SCHOOL DISTRICT,901530,Single-sex teams,96
CT,FAIRFIELD SCHOOL DISTRICT,901530,Participants on single-sex teams,2017
VT,Milton Incorporated School District,5005610,Single-sex teams,28
VT,Milton Incorporated School District,5005610,Participants on single-sex teams,432
MA,Grafton,2505370,Single-sex teams,38
MA,Grafton,2505370,Participants on single-sex teams,873
NH,Concord School District,3302460,Single-sex teams,39
NH,Concord School District,3302460,Participants on single-sex teams,1567
MA,Waltham,2512000,Single-sex teams,49
MA,Waltham,2512000,Participants on single-sex teams,918
ME,RSU 57/MSAD 57,2314670,Single-sex teams,23
ME,RSU 57/MSAD 57,2314670,Participants on single-sex teams,489
NH,Laconia School District,3304140,Single-sex teams,26
NH,Laconia School District,3304140,Participants on single-sex teams,404
MA,Millbury,2507890,Single-sex teams,24
MA,Millbury,2507890,Participants on single-sex teams,501
CT,EAST HARTFORD SCHOOL DISTRICT,901260,Single-sex teams,44
CT,EAST HARTFORD SCHOOL DISTRICT,901260,Participants on single-sex teams,668
CT,TOLLAND SCHOOL DISTRICT,904560,Single-sex teams,32
CT,TOLLAND SCHOOL DISTRICT,904560,Participants on single-sex teams,609
MA,Central Berkshire,2503390,Single-sex teams,24
MA,Central Berkshire,2503390,Participants on single-sex teams,416
MA,Athol-Royalston,2502160,Single-sex teams,18
MA,Athol-Royalston,2502160,Participants on single-sex teams,110
MA,Gloucester,2505280,Single-sex teams,21
MA,Gloucester,2505280,Participants on single-sex teams,331
NH,Milton School District,3300616,Single-sex teams,7
NH,Milton School District,3300616,Participants on single-sex teams,45
CT,LEDYARD SCHOOL DISTRICT,902160,Single-sex teams,9
CT,LEDYARD SCHOOL DISTRICT,902160,Participants on single-sex teams,207
ME,RSU 01 - LKRSU,2314772,Single-sex teams,4
ME,RSU 01 - LKRSU,2314772,Participants on single-sex teams,114
CT,WETHERSFIELD SCHOOL DISTRICT,905070,Single-sex teams,51
CT,WETHERSFIELD SCHOOL DISTRICT,905070,Participants on single-sex teams,1130
ME,RSU 13,2314787,Single-sex teams,28
ME,RSU 13,2314787,Participants on single-sex teams,315
ME,Winthrop Public Schools,2313970,Single-sex teams,34
ME,Winthrop Public Schools,2313970,Participants on single-sex teams,140
VT,Mount Mansfield Modified USD #401B,5000388,Single-sex teams,20
VT,Mount Mansfield Modified USD #401B,5000388,Participants on single-sex teams,98
ME,RSU 61/MSAD 61,2314210,Single-sex teams,20
ME,RSU 61/MSAD 61,2314210,Participants on single-sex teams,452
MA,Dudley-Charlton Reg,2504360,Single-sex teams,37
MA,Dudley-Charlton Reg,2504360,Participants on single-sex teams,778
VT,South Burlington School District,5007470,Single-sex teams,36
VT,South Burlington School District,5007470,Participants on single-sex teams,923
MA,Ralph C Mahar,2509900,Single-sex teams,4
MA,Ralph C Mahar,2509900,Participants on single-sex teams,126
NH,Mascenic Regional School District,3304670,Single-sex teams,14
NH,Mascenic Regional School District,3304670,Participants on single-sex teams,140
ME,RSU 88/MSAD 24,2311010,Single-sex teams,6
ME,RSU 88/MSAD 24,2311010,Participants on single-sex teams,40
CT,NEW MILFORD SCHOOL DISTRICT,902850,Single-sex teams,66
CT,NEW MILFORD SCHOOL DISTRICT,902850,Participants on single-sex teams,643
CT,OXFORD SCHOOL DISTRICT,903240,Single-sex teams,28
CT,OXFORD SCHOOL DISTRICT,903240,Participants on single-sex teams,373
MA,Lexington,2506840,Single-sex teams,60
MA,Lexington,2506840,Participants on single-sex teams,1434
NH,Conway School District,3302490,Single-sex teams,38
NH,Conway School District,3302490,Participants on single-sex teams,654
NH,Monadnock Regional School District,3304890,Single-sex teams,15
NH,Monadnock Regional School District,3304890,Participants on single-sex teams,234
MA,New Bedford,2508430,Single-sex teams,29
MA,New Bedford,2508430,Participants on single-sex teams,500
CT,EAST WINDSOR SCHOOL DISTRICT,901350,Single-sex teams,18
CT,EAST WINDSOR SCHOOL DISTRICT,901350,Participants on single-sex teams,232
MA,Chicopee,2503660,Single-sex teams,69
MA,Chicopee,2503660,Participants on single-sex teams,1365
MA,Salem,2510380,Single-sex teams,12
MA,Salem,2510380,Participants on single-sex teams,360
MA,Methuen,2507740,Single-sex teams,47
MA,Methuen,2507740,Participants on single-sex teams,938
ME,Wells-Ogunquit CSD,2313490,Single-sex teams,37
ME,Wells-Ogunquit CSD,2313490,Participants on single-sex teams,525
CT,WILTON SCHOOL DISTRICT,905130,Single-sex teams,53
CT,WILTON SCHOOL DISTRICT,905130,Participants on single-sex teams,1182
MA,Lunenburg,2507080,Single-sex teams,25
MA,Lunenburg,2507080,Participants on single-sex teams,445
ME,Auburn Public Schools,2302610,Single-sex teams,12
ME,Auburn Public Schools,2302610,Participants on single-sex teams,199
MA,North Adams,2508670,Single-sex teams,13
MA,North Adams,2508670,Participants on single-sex teams,141
ME,RSU 58/MSAD 58,2314300,Single-sex teams,6
ME,RSU 58/MSAD 58,2314300,Participants on single-sex teams,132
MA,Westford,2512660,Single-sex teams,43
MA,Westford,2512660,Participants on single-sex teams,1301
MA,Auburn,2502220,Single-sex teams,32
MA,Auburn,2502220,Participants on single-sex teams,451
CT,THOMASTON SCHOOL DISTRICT,904500,Single-sex teams,22
CT,THOMASTON SCHOOL DISTRICT,904500,Participants on single-sex teams,272
MA,Canton,2503300,Single-sex teams,45
MA,Canton,2503300,Participants on single-sex teams,582
MA,Reading,2509990,Single-sex teams,59
MA,Reading,2509990,Participants on single-sex teams,1210
MA,Seekonk,2510590,Single-sex teams,17
MA,Seekonk,2510590,Participants on single-sex teams,505
MA,Woburn,2513200,Single-sex teams,54
MA,Woburn,2513200,Participants on single-sex teams,353
RI,Narragansett,4400660,Single-sex teams,35
RI,Narragansett,4400660,Participants on single-sex teams,463
VT,Harwood Unified School District,5000403,Single-sex teams,35
VT,Harwood Unified School District,5000403,Participants on single-sex teams,311
CT,MERIDEN SCHOOL DISTRICT,902400,Single-sex teams,39
CT,MERIDEN SCHOOL DISTRICT,902400,Participants on single-sex teams,980
CT,WEST HARTFORD SCHOOL DISTRICT,904920,Single-sex teams,18
